City,State,2010 Population,CBSA Code,CO ,Pb,NO2,NO2,O3,PM10,PM2.5 (WAM),PM2.5 (24hr),SO2
Montgomery,AL,374536,33860,,,,,0.06,24,7.8,18,
Morehead City,NC,66469,33980,,,,,0.058,,,,
Morgantown,WV,129709,34060,,,,,0.057,,7,14,11
Morristown,TN,113951,34100,,,,,0.061,,,,
Moscow,ID,37244,34140,,,,,,,,,
Moses Lake,WA,89120,34180,,,,,,,,,
Mount Pleasant,TX,32334,34420,,,,,,,,,17
Mount Vernon,IL,38827,34500,,,,,0.064,,8.2,19,
Mount Vernon,OH,60921,34540,,,,,0.064,,,,
Mount Vernon-Anacortes,WA,116901,34580,,,,,0.057,,5.6,14,
Muncie,IN,117671,34620,,0.04,,,0.068,,7.5,18,
Muscatine,IA,42745,34700,,,,,,59,7.6,17,27
Muskegon,MI,172188,34740,,,,,0.082,,,,
Muskogee,OK,70990,34780,,,,,,,,,
Napa,CA,136484,34900,,,,,,,,,
Naples-Immokalee-Marco Island,FL,321520,34940,,,,,0.055,,,,
Nashville-Davidson--Murfreesboro--Franklin,TN,1670890,34980,2,,13,53,0.067,80,9.3,23,3
New Castle,IN,49462,35220,,,,,,,,,
New Castle,PA,91108,35260,,0.02,,,0.063,,,,
New Haven-Milford,CT,862477,35300,1,,12,44,0.076,50,7.7,19,2
New Orleans-Metairie,LA,1189866,35380,1,0.02,9,50,0.066,98,8.6,18,63
Niles-Benton Harbor,MI,156813,35660,,,,,0.074,,,,
Nogales,AZ,47420,35700,,,,,,104,9.6,28,
North Platte,NE,37590,35820,,,,,,,,,
North Port-Sarasota-Bradenton,FL,702281,35840,,,,,0.064,48,,,7
Norwich-New London,CT,274055,35980,,,,,0.071,27,6.5,14,
Ocala,FL,331298,36100,,,,,0.063,,,,
Odessa,TX,137130,36220,,,,,,,7.5,20,
Ogden-Clearfield,UT,597159,36260,1,,12,50,0.075,129,6.9,27,
Ogdensburg-Massena,NY,111944,36300,,,,,,,,,77
Oklahoma City,OK,1252987,36420,1,,13,44,0.073,110,9.5,22,1
Olympia-Tumwater,WA,252264,36500,,,,,0.055,,,,
Orangeburg,SC,92501,36700,,,,,,,,,
Orlando-Kissimmee-Sanford,FL,2134411,36740,1,,,,0.066,48,7.5,16,
Oshkosh-Neenah,WI,166994,36780,,,,,,,,,
Othello,WA,18728,36830,,,,,,,,,
Ottawa-Peru,IL,154908,36860,,,,,,,,,5
Owensboro,KY,114752,36980,,,5,30,0.067,,8.6,21,8
Oxford,NC,59916,37080,,,,,0.062,,,,
Oxnard-Thousand Oaks-Ventura,CA,823318,37100,,,6,30,0.078,53,8.2,17,
Pahrump,NV,43946,37220,,,,,,352,,,
Palatka,FL,74364,37260,,,,,,66,,,49
Palm Bay-Melbourne-Titusville,FL,543376,37340,,,,,0.061,67,7.4,16,
Panama City,FL,184715,37460,,,,,0.059,,,,
Parkersburg-Vienna,WV,92673,37620,,,,,0.062,,7.4,15,19
Payson,AZ,53597,37740,,0.03,,,0.074,277,,,60
Pensacola-Ferry Pass-Brent,FL,448991,37860,,,,,0.067,75,9.5,20,7
Peoria,IL,379186,37900,,,,,0.065,,,,11
Phoenix-Mesa-Scottsdale,AZ,4192887,38060,2,,26,61,0.081,431,11.1,33,5
Picayune,MS,55834,38100,,,,,,,,,
Pierre,SD,21361,38180,,,,,,,1.9,10,
Pine Bluff,AR,100258,38220,,,,,,,,,
Pittsburgh,PA,2356285,38300,3,0,9,40,0.066,55,11,34,69
Pittsfield,MA,131219,38340,,,,,0.063,,5.8,15,
Platteville,WI,51208,38420,,,,,,,8.2,21,
Pocatello,ID,82839,38540,,,,,0.057,103,,,39
Ponca City,OK,46562,38620,,,,,,,8.6,21,10
Ponce,PR,350480,38660,2,,,,,80,6.7,18,
Port Angeles,WA,71404,38820,1,,,,0.05,,,,1
Portland-South Portland,ME,514098,38860,,,6,,0.063,55,5.8,14,
Port St. Lucie,FL,424107,38940,,,,,0.056,,,,
Portsmouth,OH,79499,39020,,,,,,43,7.1,17,21
Prescott,AZ,211033,39140,,,,,0.061,,,,
Price,UT,21403,39220,,,3,16,0.06,,,,
Prineville,OR,20978,39260,,,,,,,6.7,25,
Provo-Orem,UT,526810,39340,1,,9,41,0.074,97,7,25,
Pueblo,CO,159063,39380,,,,,,180,6.4,16,
Pullman,WA,44776,39420,,,,,,,,,
Raleigh,NC,1130490,39580,1,,8,35,0.064,28,8.7,18,2
Rapid City,SD,134598,39660,,,5,32,0.063,133,7,21,1
Reading,PA,411442,39740,,0.02,,,0.062,,8.2,21,3
Red Bluff,CA,63463,39780,,,,,0.07,40,5.8,19,
Redding,CA,177223,39820,,,,,0.071,34,5.9,22,
Red Wing,MN,46183,39860,,,,,0.057,,,,
Reno,NV,425417,39900,2,,12,47,0.066,192,10,74,3
Richmond,VA,1208101,40060,1,,14,49,0.061,27,8,16,4
Richmond-Berea,KY,99972,40080,,0.03,,,,,,,
Riverside-San Bernardino-Ontario,CA,4224851,40140,1,0.01,29,67,0.105,1547,12.2,32,3
Riverton,WY,40123,40180,,,3,4,0.063,87,5.8,15,51
Roanoke,VA,308707,40220,1,,5,33,0.058,,7.4,16,
Roanoke Rapids,NC,76790,40260,,,2,15,,,6.6,16,
Rochester,MN,206877,40340,,,,,0.057,,6.5,20,
Rochester,NY,1079671,40380,1,,7,,0.067,24,6.3,17,2
Rockford,IL,349431,40420,,,,,0.066,,8.3,23,
Rockland,ME,7297,40500,,,,,0.056,,,,
Rock Springs,WY,43806,40540,,,3,30,0.061,149,4.3,10,8
Rocky Mount,NC,152392,40580,,,,,0.061,,,,
Rome,GA,96317,40660,,,,,,,,,
Roseburg,OR,107667,40700,,,,,,,,,
Roswell,NM,65645,40740,,,,,,,,,
Russellville,AR,83939,40780,,,,,,,,,
Rutland,VT,61642,40860,1,,6,33,0.054,24,7.2,18,2
Sacramento--Roseville--Arden-Arcade,CA,2149127,40900,2,,8,44,0.075,96,10.3,44,
Saginaw,MI,200169,40980,,,,,,,,,
St. Cloud,MN,189093,41060,,,,,0.056,,,,
St. George,UT,138115,41100,,,6,30,0.064,,5.1,13,
St. Marys,PA,13070,41260,,,,,0.06,,,,
Salem,OH,107841,41400,,0.01,,,,33,,,
Salem,OR,390738,41420,,,,,0.069,,,,
Salina,KS,61697,41460,,0.04,,,,,,,
Salinas,CA,415057,41500,1,,3,,0.054,62,5.2,13,
Salt Lake City,UT,1087873,41620,1,,18,53,0.076,152,9,32,5
San Antonio-New Braunfels,TX,2142508,41700,1,,6,37,0.076,57,9.2,27,5
San Diego-Carlsbad,CA,3095313,41740,1,0.01,15,50,0.079,196,9.3,17,1
Sandpoint,ID,40877,41760,,,,,,100,,,
Sanford,NC,57866,41820,,,,,,,,,
San Francisco-Oakland-Hayward,CA,4335391,41860,2,,13,43,0.068,38,9.9,24,15
San Jose-Sunnyvale-Santa Clara,CA,1836911,41940,2,0.04,13,44,0.066,74,10.1,27,2
San Juan-Carolina-Caguas,PR,2350126,41980,19,,,,0.037,96,6.5,20,11
San Luis Obispo-Paso Robles-Arroyo Grande,CA,269637,42020,,,2,17,0.069,100,9.1,23,3
Santa Cruz-Watsonville,CA,262382,42100,,,,,0.047,,5.5,16,
Santa Fe,NM,144170,42140,,,,,0.067,,2.9,15,
Santa Maria-Santa Barbara,CA,423895,42200,1,,3,20,0.06,60,8,16,2
Santa Rosa,CA,483878,42220,1,,4,25,0.05,36,6.4,17,
Sault Ste. Marie,MI,38520,42300,,,,,,,,,
Savannah,GA,347611,42340,,,,,0.058,,,,50
Sayre,PA,62622,42380,,,,,0.059,,,,
Scottsbluff,NE,38971,42420,,,,,,,3.2,9,
